id,household_income,anychildren,broadband,hispanic,race,region
5625,4,1,0,1,white,MW
247,4,0,0,1,white,MW
7868,2,1,0,0,white,MW
186,3,0,0,0,white,MW
5457,6,1,0,1,white,S
4450,5,1,1,0,white,MW
4018,3,1,0,0,white,S
1823,4,0,0,0,white,W
493,3,1,1,0,white,NE
1911,3,0,0,1,white,W
4902,7,0,1,0,white,MW
5051,5,1,0,0,white,S
4413,2,0,0,1,white,S
2931,5,0,0,0,white,W
8281,6,0,1,0,white,NE
6832,2,0,0,0,black,NE
6280,1,0,1,0,white,MW
4996,7,0,1,0,white,W
8617,7,0,0,0,white,S
4724,7,0,0,0,white,MW
5545,4,1,1,0,white,NE
5340,5,1,1,0,white,MW
9124,3,0,1,0,white,NE
7744,4,1,0,0,white,S
1716,4,0,0,0,white,NE
6814,4,0,1,0,white,S
4171,7,0,1,1,white,S
4550,6,0,1,0,white,NE
8545,7,1,0,0,white,S
4371,4,0,0,0,white,NE
6333,7,0,0,0,white,MW
973,2,1,1,0,black,NE
6566,5,1,1,0,white,MW
8612,1,0,0,0,white,MW
7151,5,0,0,0,white,MW
4090,4,0,0,0,black,S
7090,5,0,1,0,white,NE
8822,4,1,0,0,white,S
7407,3,0,0,0,white,W
9880,4,1,1,0,white,S
6843,3,1,0,0,white,S
5720,3,0,0,0,white,S
7922,3,1,1,0,asian,W
5176,5,1,1,0,asian,W
3893,6,0,1,0,white,W
1168,5,1,0,0,asian,NE
9272,5,0,0,0,white,S
4179,4,0,0,1,white,MW
174,4,1,0,1,asian,NE
5025,5,0,0,0,white,S
484,4,0,0,0,white,MW
15,4,0,1,0,white,MW
3309,1,1,1,0,white,NE
4873,6,1,1,0,white,W
6717,5,0,0,0,white,W
8265,5,0,0,0,white,MW
1921,2,0,0,0,white,S
7842,5,1,0,0,white,S
743,4,0,0,0,white,MW
1133,4,0,1,1,white,W
6277,6,0,1,0,white,NE
3256,7,0,0,0,white,MW
1457,5,0,1,0,white,W
5503,1,0,0,1,other,W
9131,5,0,1,0,white,S
7989,4,1,1,0,black,NE
5572,3,1,0,0,white,NE
4365,4,1,1,0,white,W
1724,1,0,1,0,black,NE
342,1,0,1,0,white,NE
360,5,1,1,1,white,NE
3959,5,1,0,0,white,MW
2208,3,1,1,0,white,MW
676,4,0,0,0,white,NE
2313,5,1,1,1,white,W
