Date,Mkt-RF,SMB,HML,RF,,,S/L,S/M,S/H,B/L,B/M,B/H
192607,2.63,-2.49,-3.04,0.22,,192607,2.29,0.31,-0.01,5.81,1.89,2.05
192608,2.52,-1.33,4.3,0.25,,192608,-0.58,2.6,5.2,2.7,2.76,5.61
192609,0.02,-1.36,0.1,0.23,,192609,-2.6,0.11,-0.42,1.49,0.02,-0.52
192610,-3.1,-0.17,0.48,0.32,,192610,-3.5,-4.44,-2.16,-3.67,-2.31,-3.83
192611,2.46,-0.33,-0.39,0.31,,192611,2.62,3.55,2.21,3.49,2.71,3.28
192612,2.63,0.01,-0.05,0.28,,192612,2.51,2.08,2.77,2.72,2.61,2.2
192701,-0.08,-0.21,4.59,0.25,,192701,-1.19,-0.23,4.9,-0.05,0.02,4.01
192702,4.26,0.27,3.08,0.26,,192702,3.24,7.3,6.83,5.08,3.45,7.59
192703,0.37,-1.85,-2.96,0.3,,192703,-1.63,-1.19,-3.38,1.74,-0.03,-2.52
192704,0.43,0.43,1.08,0.25,,192704,-0.91,-0.03,4.8,3.11,-0.67,-0.17
192705,5.43,0.25,2.75,0.3,,192705,5.9,3.25,9.99,5.7,4.96,7.16
192706,-2.3,0.96,-1.87,0.26,,192706,-0.67,-0.15,-2.5,-0.98,-2.88,-2.37
192707,7.24,-3.03,-1.45,0.3,,192707,4.29,5.36,4.01,9.34,6.69,7.14
192708,2.27,-0.94,-3.2,0.28,,192708,1.95,-2.55,1.65,4.47,1.18,-1.98
192709,4.44,-3.05,-0.86,0.21,,192709,2.59,2.51,0.05,4.59,4.47,5.49
192710,-4.19,1.97,-3.7,0.25,,192710,-0.34,-1.89,-5.49,-3.35,-4.36,-6.43
192711,6.73,2.23,-0.13,0.21,,192711,10.52,7.52,9.8,7.17,6.62,7.23
192712,2.08,0.91,-1.28,0.22,,192712,5.2,3.21,2.02,2.37,2,3.63
192801,-0.52,4.27,-1.52,0.25,,192801,3.46,2.98,3.08,-0.3,-0.39,-2.81
192802,-1.68,-2,-0.76,0.33,,192802,-4.86,-1.72,-3.95,-0.52,-1.24,-3.04
192803,8.7,-0.27,-1.45,0.29,,192803,6.84,7.86,9.76,12.23,6.06,6.35
192804,4.08,3.89,2.72,0.22,,192804,4.29,10.92,9.17,3.01,5.8,3.77
192805,1.62,2.69,-3.22,0.32,,192805,6.93,1.96,2.63,2.9,0.07,0.2
192806,-4.9,-3.66,0.3,0.31,,192806,-8.81,-8.18,-7.23,-3.96,-4.05,-5.5
192807,0.7,-1.48,-0.65,0.32,,192807,-0.46,-1.03,-0.91,1.31,0.26,0.67
192808,6.46,-1.94,-2.37,0.32,,192808,5.79,4.61,3.61,8.47,5.46,5.6
192809,2.86,1.95,1.02,0.27,,192809,5.48,4.38,6.42,3.68,1.68,4.5
192810,1.68,2.34,-2.59,0.41,,192810,5.18,3.67,1.6,1.36,1.94,0.25
192811,11.66,-1.51,2.82,0.38,,192811,8.02,10.74,12.77,10.97,13.35,12.07
192812,0.33,-1.08,-0.01,0.06,,192812,0.22,-1.36,-0.15,0.67,0.04,0.62
192901,4.99,-3.13,-1.86,0.34,,192901,0.76,2.21,1.13,6.11,5.09,1.67
192902,-0.41,0.75,1.04,0.36,,192902,0.79,1.25,1.87,-0.49,0.83,0.38
192903,-1.14,-3.89,0.65,0.34,,192903,-5.14,-2.91,-4.11,-1.57,2.4,-1.06
192904,1.44,-0.86,1.3,0.36,,192904,-0.51,2.52,1.57,1.87,1.46,2.27
192905,-5.98,-7.36,1.05,0.44,,192905,-10.93,-9.69,-13.37,-5.77,-4.89,-0.85
192906,9.42,-1.69,-2.85,0.52,,192906,6.94,9.82,6.4,11.72,9.53,6.5
192907,4.25,-4.02,2.11,0.33,,192907,0.62,-0.71,2.82,3.56,5.79,5.55
192908,8.01,-9.3,0.26,0.4,,192908,-2.32,-0.15,0.14,7.57,12.4,5.34
192909,-5.25,1.46,-0.94,0.35,,192909,-2.85,-3.88,-3.75,-4.81,-4.52,-5.84
192910,-20.11,-3.86,9.04,0.46,,192910,-23.13,-18.01,-19.1,-24.02,-13.78,-10.23
192911,-12.6,-1.6,5.25,0.37,,192911,-15.2,-10.27,-12.18,-14.96,-10.79,-7.16
192912,1.41,-4.88,-0.54,0.37,,192912,-3.95,-2.44,-1.79,4.29,0.67,0.97
193001,5.45,4.26,-3.14,0.14,,193001,8.22,8.94,7.37,6.99,3.22,2.5
193002,2.37,0.4,0.1,0.3,,193002,2.74,0.45,4.5,2.86,1.71,1.47
193003,7.33,4.11,-0.52,0.35,,193003,10.14,11.46,11.2,6.8,8.44,5.47
193004,-2.27,-1.12,-2.17,0.21,,193004,-6.46,-1.81,-5.26,-1.3,-2.43,-6.32
193005,-1.55,-1.59,-1.79,0.26,,193005,-2.53,-2.78,-3.62,0.05,-1.85,-2.08
193006,-16.02,-3,2.6,0.27,,193006,-17.82,-15.26,-18.61,-17.76,-12.94,-12.2
193007,3.91,0.54,-2.35,0.2,,193007,8.18,4.25,2.54,4.47,3.66,5.34
193008,0.26,-2.15,-1.12,0.09,,193008,-3.47,-1.34,-2.94,0.84,-0.8,-1.68
193009,-12.65,-2.09,-4.47,0.22,,193009,-14.31,-14.13,-18.52,-12.37,-11.21,-17.12
193010,-8.46,-1.38,-0.84,0.09,,193010,-11.72,-8.92,-10.93,-9.03,-7.29,-11.33
193011,-2.75,2.26,-2.75,0.13,,193011,-0.48,-2.27,-1.94,-1.81,-3.49,-6.14
193012,-7.85,-5.06,-5.29,0.14,,193012,-11.26,-11.43,-17.73,-6.27,-9.11,-9.95
193101,6.08,3.7,7.7,0.15,,193101,11.21,8.68,17.24,4.62,8.1,13.87
193102,10.81,2.93,2.48,0.04,,193102,11.87,11.89,16.84,12.33,6.79,12.54
193103,-6.55,2.72,-3.27,0.13,,193103,-4.24,-3.24,-7.47,-5.08,-9.89,-8.41
193104,-9.92,-4.71,-3.8,0.08,,193104,-12.67,-14.88,-18.12,-9.09,-11.05,-11.37
193105,-13.37,5.65,-6.34,0.09,,193105,-9.85,-8.78,-13.25,-11.27,-17.56,-20.6
193106,13.68,-4.97,10.94,0.08,,193106,9.94,9.12,20.2,13.01,16.97,24.56
193107,-6.39,1.65,-3.87,0.06,,193107,-7.44,-9.79,-6.03,-4.82,-10.03,-13.87
193108,0.05,-1.01,-2.57,0.03,,193108,-0.65,0.46,-4.6,0.57,-1.68,-0.68
193109,-29.03,-0.53,-6.55,0.03,,193109,-27.68,-31.19,-33.64,-28.05,-27.83,-35.13
193110,7.98,0,0.09,0.1,,193110,5.99,9.43,6.37,9.43,3.01,9.29
193111,-9.1,4.55,-5.33,0.17,,193111,-8.01,-6.82,-9.68,-6.47,-16.43,-15.47
193112,-13.57,0.02,-9.56,0.12,,193112,-13.5,-16.53,-22.16,-11.46,-19.11,-21.88
193201,-1.28,3.45,9.89,0.23,,193201,2.41,3.96,10.63,-3.35,1.8,8.26
193202,5.51,-1.59,-3.64,0.23,,193202,1.51,4.21,-0.17,6.86,1.85,0.84
193203,-11.09,2.2,-1.86,0.16,,193203,-12.42,-9.53,-11.49,-10.01,-15.43,-14.58
193204,-18.11,1.47,-1.12,0.11,,193204,-19.76,-14.94,-19.12,-17.72,-19.93,-20.57
193205,-20.75,4.5,-5.09,0.06,,193205,-16.72,-23.01,-16.58,-19.56,-25.79,-27.2
193206,-0.94,-2.41,8.17,0.02,,193206,1.17,1.45,1.25,-2.55,0.27,13.55
193207,33.05,-6.5,35.35,0.03,,193207,30.7,34.95,60.37,27.94,48.99,70.11
193208,36.45,19.44,24.58,0.03,,193208,60.45,57.39,81.36,30.94,50.53,59.54
193209,-3.13,-2.36,-6.96,0.03,,193209,-2.35,-5.93,-12.23,-1.61,-6.51,-4.98
193210,-13.06,-2.83,-9.9,0.02,,193210,-16.01,-20.45,-23.08,-10.52,-17.28,-23.25
193211,-5.49,1.32,-12.05,0.02,,193211,-2.39,-7.35,-13.22,-2.41,-8.96,-16.23
193212,4.43,-9.88,-6.89,0.01,,193212,-7.83,-7.16,-10.8,6.74,1.35,-4.09
193301,0.96,-0.21,7.56,0.01,,193301,1.38,2.68,7.56,0.07,2.4,9.66
193302,-13.25,-1.31,0.71,-0.03,,193302,-15.95,-14.64,-13.16,-14.04,-10.92,-14.26
193303,1.64,2.19,2.52,0.04,,193303,5.61,1.69,7.14,0.5,3.48,3.29
193304,38.18,4.4,17.51,0.1,,193304,44.89,53.38,56.27,32.46,51.25,55.41
193305,21.07,38.04,14.79,0.04,,193305,64.32,64.98,69.64,17.17,26.5,41.85
193306,13.35,8.45,-3.3,0.02,,193306,33.01,24.77,15.97,11.55,15.14,22.41
193307,-9.6,-0.11,0.81,0.02,,193307,-11.59,-11.82,-8.57,-8.87,-12.79,-9.36
193308,12.19,-5.46,3.49,0.03,,193308,9.19,10.76,8.3,10.67,15.65,18.33
193309,-10.57,0.12,-13.42,0.02,,193309,-6.38,-14.04,-21.38,-9.08,-12.32,-20.52
193310,-8.23,-0.04,-8.11,0.01,,193310,-8.92,-11.92,-13.38,-6.14,-10.17,-18
193311,9.96,-6.32,1.28,0.02,,193311,6.23,4.75,5.18,9.55,12.26,13.02
193312,1.99,-0.22,-1.67,0.02,,193312,4.1,3.19,0.03,2.41,2.4,3.27
193401,12.92,12.17,17.01,0.05,,193401,19.53,30.26,38.64,10.48,16.09,25.35
193402,-2.37,5.19,2.13,0.02,,193402,0.03,1.13,5.52,-2.15,-3.3,-3.81
193403,0.46,2.43,-2.87,0.02,,193403,4.52,1.55,0.08,0.08,0.06,-1.28
193404,-1.81,2.94,-4.83,0.01,,193404,4.65,-1.97,-2.21,-1.7,-1.87,-4.7
193405,-7.08,-0.04,-7.45,0.01,,193405,-6.65,-9.84,-12.91,-6.18,-8.34,-14.61
193406,2.52,-2.56,-2.33,0.01,,193406,2.81,-0.1,-2.22,2.67,2.36,3.06
193407,-10.86,-6.32,-11.48,0.01,,193407,-18.97,-21.03,-24.54,-8.14,-11.94,-25.9
193408,5.94,4.53,1.26,0.01,,193408,10.96,9.32,12.01,6.67,4.02,7.95
193409,-0.31,-1.79,-0.51,0.01,,193409,-2.26,0.15,-3.71,-0.37,-0.1,0.04
193410,-1.93,1.66,-4.01,0.01,,193410,-1.83,-1.53,-2.75,-0.67,-3.02,-7.54
193411,8.43,7.08,-4.79,0.01,,193411,19.31,15.23,11.55,10.72,5.3,8.5
193412,0.39,2.81,-2.96,0.01,,193412,4.25,1.82,1.18,0.91,0.11,-2.22
193501,-3.19,1.01,-2.34,0.01,,193501,-6.24,-3.09,-3.36,-2.79,-2.84,-10.34
193502,-1.96,0.38,-7.27,0.02,,193502,-4.57,-4.22,-6.45,-0.63,-2.7,-13.25
193503,-3.71,-3.85,-5.07,0.01,,193503,-5.27,-8.21,-11.78,-3.38,-3.3,-7.13
193504,8.93,-1.92,5.14,0.01,,193504,6.11,8.82,10.79,7.87,10.08,13.7
193505,3.47,-3.95,1.75,0.01,,193505,-1.33,1.39,0.42,3.03,4.76,4.53
193506,5.5,-2.89,-0.02,0.01,,193506,3.82,7.93,0.32,5.76,5.53,9.16
193507,7.3,2.9,5.58,0.01,,193507,12.14,13.4,13.08,6.98,6.33,17.03
193508,2.74,7.15,4.4,0.01,,193508,5.89,8.98,14.09,2.44,2.26,3.17
193509,2.37,0.92,-4.24,0.01,,193509,5.1,5.28,-0.82,4.47,0.68,1.85
193510,6.98,2.27,-0.15,0.01,,193510,8.07,10.83,8.54,6.82,7.95,5.78
193511,5.17,5.71,10.53,0.02,,193511,9.68,10.74,19.51,3,5.66,14.33
193512,4.55,0.9,0.37,0.01,,193512,8.14,8.77,3.1,2.92,5.98,8.58
193601,6.57,6.17,10.17,0.01,,193601,11.49,9.68,22.29,2.58,9.49,12.07
193602,2.59,0.74,3.75,0.01,,193602,2.93,6.57,5.11,2.04,2.78,7.57
193603,0.83,0.88,-2.05,0.02,,193603,0.84,3.1,0.65,2.69,0.08,-1.4
193604,-7.84,-6.8,-2.19,0.02,,193604,-15.72,-13,-16.57,-6.61,-8.27,-10.1
193605,5.03,0.89,2.5,0.02,,193605,5.23,4.87,8.51,4.81,5.05,6.57
193606,2.56,-3.51,-0.86,0.03,,193606,-2.38,0.58,-0.92,3.61,2.31,0.41
193607,6.32,1.38,1.93,0.01,,193607,11.25,7.08,8.98,5.38,6.71,11.64
193608,1.1,0.05,3.56,0.02,,193608,0.25,2.13,3.38,0.49,0.83,4.64
193609,1.46,3.29,-0.63,0.01,,193609,4.66,4.15,4.24,1.44,0.86,0.63
193610,6.95,-2.23,2.01,0.02,,193610,4.32,6.72,5.87,6.22,8.96,8.38
193611,3.41,8.25,-1.62,0.01,,193611,11.56,8.26,11.94,3.77,2.85,0.01
193612,0.12,2.92,5.57,0,,193612,0.73,2.58,7.69,-2.15,2,2.09
193701,3.24,4.34,3.54,0.01,,193701,6.72,6.7,11.01,3.72,1.5,6.47
193702,1.31,0.49,5.35,0.02,,193702,3.24,2.12,5.02,-0.18,0.43,9.04
193703,-0.47,-2.2,6.88,0.01,,193703,-3.56,0.08,1.88,-1.86,-0.25,6.85
193704,-7.49,-3.33,-4.89,0.03,,193704,-8.72,-11.07,-14.15,-6.72,-6.07,-11.17
193705,-0.9,-0.59,-3.45,0.06,,193705,0.66,-1.75,-4.19,-0.25,-0.78,-2.48
193706,-4.09,-3.41,-2.92,0.03,,193706,-6.6,-7.73,-9.71,-4.24,-2.73,-7.14
193707,8.4,1.84,-0.01,0.03,,193707,11.8,9.83,10.12,8.21,8,10.09
193708,-4.54,0.01,-2.21,0.02,,193708,-4.89,-5.26,-5.03,-3.14,-4.79,-7.88
193709,-13.52,-6.95,-4.48,0.04,,193709,-20.71,-20.52,-23.14,-12,-12.96,-19.11
193710,-9.5,0.17,-1.45,0.02,,193710,-11.9,-9.69,-10.18,-9.73,-7.98,-14.86
193711,-8.32,-3.41,0.21,0.02,,193711,-11.98,-11.89,-11.34,-8.83,-7.4,-9.25
193712,-4.05,-8.05,-1.28,0,,193712,-12.63,-10.81,-13.62,-4.21,-3.15,-6.09
193801,0.83,5.83,-1.84,0,,193801,5.76,6,5.38,1.67,-0.32,-1.68
193802,5.75,0.01,-1.59,0,,193802,8.62,5.27,4.6,5.9,5.48,6.3
193803,-23.61,-4.25,-4.2,-0.01,,193803,-29.94,-27.92,-30.7,-22.79,-22.74,-31.75
193804,14.53,6.71,-0.09,0.01,,193804,21.95,20.49,20.33,13.32,14.68,15.09
193805,-3.88,-2.46,-0.93,0,,193805,-6.81,-7.64,-6.16,-3.63,-3.69,-6.3
193806,23.54,4.07,1.91,0,,193806,30.11,29.07,29.06,25.27,20.92,31.55
193807,7.18,6.67,0.86,-0.01,,193807,15.09,14.19,14.03,6.91,7.25,9.05
193808,-2.69,-2.44,-4.07,0,,193808,-5.56,-4.47,-9.13,-0.61,-6.07,-5.28
193809,0.86,-3.1,-0.86,0.02,,193809,-2.4,-2.32,-2.81,1.29,0.66,-0.89
193810,7.71,6.63,4.69,0.01,,193810,16.04,15.46,17.05,6.69,7.29,14.01
193811,-1.76,-2.37,-0.95,-0.06,,193811,-5.49,-2.21,-5.59,-1.12,-2.56,-2.4
193812,4.04,-1.9,0.87,0,,193812,5.42,3.45,1.77,3.21,4.43,8.99
193901,-5.96,-1.36,-3.61,-0.01,,193901,-8.11,-9.26,-9.2,-5.22,-6.03,-11.03
193902,3.45,0.23,3.24,0.01,,193902,3.13,5.36,5.9,3.37,3.17,6.79
193903,-11.89,-5.42,-8.05,-0.01,,193903,-18.28,-18.84,-23.1,-9.69,-13.44,-21.15
193904,-0.26,2.02,0.39,0,,193904,-0.55,-0.39,3.34,-0.15,-0.18,-3.33
193905,6.85,3.78,-0.15,0.01,,193905,13.08,9.48,10.32,6.85,5.49,9.05
193906,-5.31,-1.8,-5.25,0.01,,193906,-7.04,-8.26,-11.24,-4.36,-6.29,-10.86
193907,10.11,4.69,0.32,0,,193907,16.79,15.49,14.78,11.11,8.41,13.59
193908,-6.59,-4.56,-2.6,-0.01,,193908,-12.28,-11.7,-12.63,-6.06,-5.98,-11
193909,15.94,18.77,22.17,0.01,,193909,35.44,37.18,52.63,12.98,17.59,39.77
193910,-0.42,0.21,-4.41,0,,193910,0.41,-0.3,-4.17,0.12,-0.99,-4.09
193911,-3.63,-4.33,-6.37,0,,193911,-7.26,-8.55,-12.81,-2.58,-3.74,-9.7
193912,3.03,0.79,-4.05,0,,193912,6.37,2.37,0.61,3.65,2.33,1.24
194001,-2.48,0.36,-0.25,0,,194001,-4.24,-1.76,-2.37,-2.1,-2.87,-4.52
194002,1.43,2.21,-0.5,0,,194002,4.37,3.63,2.82,0.96,1.74,1.46
194003,1.9,1.69,-1.01,0,,194003,4.97,3.21,2.94,2.4,1.49,2.27
194004,0.13,3.74,-0.34,0,,194004,5.31,2.54,3.93,0.04,0.09,0.62
194005,-22,-6.22,-3.66,-0.02,,194005,-26.71,-27.45,-31.27,-21.92,-20.89,-24.48
194006,6.66,-2.24,4.5,0,,194006,4.15,5.08,7.23,4.95,8.33,10.55
194007,3.22,0.73,-0.44,0.01,,194007,4.59,4.59,3.18,3.45,2.93,3.86
194008,2.35,0.36,0.29,-0.01,,194008,2.63,3.22,2.27,2.13,1.77,3.13
194009,2.32,3.43,-1.97,0,,194009,6.85,4.42,4.77,3.14,1.06,1.45
194010,2.95,-0.43,5.74,0,,194010,2.34,5.7,6.4,0.97,6.38,8.38
194011,-1.66,2.03,0.54,0,,194011,0.07,1.08,0.55,-1.81,-1.26,-1.28
194012,0.71,-2.36,-1.13,0,,194012,-0.54,-0.93,-3.05,0.57,1.05,0.78
194101,-4.03,0.85,3.58,-0.01,,194101,-4.66,-2.64,-0.51,-4.9,-3.69,-1.8
194102,-1.5,-1.55,0.86,-0.01,,194102,-3.11,-1.7,-3.21,-1.8,-1.48,-0.07
194103,0.98,0.3,3.16,0.01,,194103,0.01,1.41,4.25,0.57,1.31,2.79
194104,-5.29,-1.67,3.35,-0.01,,194104,-6.94,-5.44,-5.03,-6.36,-4.43,-1.61
194105,1.43,-0.98,0.92,0,,194105,0.74,1.19,1.29,1.12,2.7,2.42
194106,5.82,1.41,0.66,0,,194106,4.5,6.44,8.38,6.18,5.28,3.61
194107,5.83,5.95,6.8,0.03,,194107,10.91,10.7,18.09,3.79,7.91,10.44
194108,0.07,-0.43,-1.07,0.01,,194108,-1.06,-1.19,-0.52,0.86,-0.92,-1.84
194109,-0.76,-1.45,0.01,0.01,,194109,-4.11,-1.24,-2.63,-0.16,-1.95,-1.49
194110,-5.15,-2.4,1.8,0,,194110,-5.86,-5.52,-6.63,-5.8,-3.64,-1.56
194111,-1.93,-0.76,-1.05,0,,194111,-0.41,-3.23,-3.2,-2.09,-0.79,-1.47
194112,-4.64,-3.45,-4.74,0.01,,194112,-7.36,-8.45,-12.2,-4.22,-4.62,-9.24
194201,0.56,7.7,9.74,0.02,,194201,7.48,10.4,14.23,-2.26,1.04,10.77
194202,-2.29,1.52,-1.01,0.01,,194202,0.51,-1.38,-1.48,-2.01,-3.03,-2.15
194203,-6.59,2.29,-1.23,0.01,,194203,-3.35,-3.39,-5.97,-5.92,-7.73,-5.79
194204,-4.32,-0.66,1.96,0.01,,194204,-6.55,-3.13,-4.22,-4.62,-4.1,-2.9
194205,6.11,-3.2,-3.14,0.03,,194205,0.18,2.14,1.07,7.34,5.28,0.31
194206,2.5,-1.06,0.15,0.02,,194206,1.2,1.7,2.13,3.07,2.5,2.37
194207,3.45,-0.35,2.49,0.03,,194207,4.65,4.18,4.73,2.68,4.5,7.53
194208,1.85,-0.55,1.78,0.03,,194208,1.77,3.35,2,1.69,1.88,5.07
194209,2.59,0.35,3.72,0.03,,194209,1.11,3.42,6.25,2.55,2.49,4.7
194210,6.75,1.35,6.64,0.03,,194210,7.8,7.47,14.32,5.17,8.52,11.99
194211,0.15,-0.64,-5.43,0.03,,194211,-0.42,-1.58,-4.34,1.28,-0.43,-5.52
194212,4.9,-2.14,1.02,0.03,,194212,2.19,3.12,4.04,4.51,6.47,4.68
194301,7.47,8.06,7.35,0.03,,194301,12.27,13.41,22.37,5.73,8.36,10.06
194302,5.96,4.42,6.09,0.03,,194302,11.39,9.57,16.2,4.93,6.9,12.45
194303,6.11,4.9,5.31,0.03,,194303,10.39,12.07,14.81,4.39,7.34,10.7
194304,0.64,1.78,6.56,0.03,,194304,-0.94,2.49,8.41,-0.2,1.24,3.68
194305,5.67,4.16,2.87,0.03,,194305,8.25,9.87,12.56,5.05,5.86,6.73
