"minutevol","tropicprice","minuteprice","dmnckprice","tropicad","minutead","dmnckad"
636927.999999434,0.06048263905,0.05127604165,0.0319140625,0,0,1
787455.99998784,0.060390625,0.048671875,0.0405078125,0,0,0
1612800.00003275,0.060390625,0.04518229165,0.0358203125,0,1,1
347135.999986594,0.060390625,0.05127604165,0.0358203125,0,0,0
367615.999999825,0.060390625,0.05127604165,0.0354296875,1,0,0
492543.999999281,0.060390625,0.05127604165,0.0338671875,0,0,1
415744.000010796,0.055859375,0.05127604165,0.0342578125,0,0,0
1942527.99933796,0.055859375,0.04361979165,0.0342578125,0,1,0
486400.000005479,0.055859375,0.05127604165,0.0315234375,0,0,1
2137088.00044410,0.055859375,0.04205729165,0.0405078125,0,1,0
402432.000000712,0.05171875,0.04979726245,0.0291796875,1,0,1
419840.000006536,0.05796875,0.05127604165,0.0319140625,0,0,0
1884160.00046025,0.05796875,0.03893229165,0.0319140625,0,1,1
493567.999989148,0.05796875,0.04815104165,0.0291796875,0,0,0
1978368.00025214,0.060390625,0.04205729165,0.0268359375,0,1,0
774144.000009047,0.053515625,0.037890625,0.0315234375,0,1,1
902144.000025595,0.05143229165,0.047109375,0.0385546875,0,0,1
1995775.99958858,0.05611979165,0.04118441955,0.0366015625,0,1,1
1162239.99997595,0.048828125,0.0412823071,0.0264453125,0,0,1
1035264.00001679,0.039453125,0.037890625,0.0366015625,0,0,1
604159.999982558,0.04674479165,0.037890625,0.0326953125,0,0,1
852992.000000743,0.05611979165,0.037890625,0.0326953125,0,0,0
607232.000007786,0.04830729165,0.042578125,0.0252734375,0,0,1
1010688.00001399,0.04830729165,0.041015625,0.0346484375,0,1,1
2043903.99925025,0.04674479165,0.036328125,0.0346484375,1,1,0
860160.000018365,0.04674479165,0.041015625,0.0252734375,0,0,1
774144.000029968,0.03815104165,0.041015625,0.0291796875,0,0,0
427007.99999999,0.05611979165,0.041015625,0.0346484375,0,0,0
942080.00002451,0.05611979165,0.041015625,0.0346484375,0,0,0
1916928.00022721,0.05611979165,0.036328125,0.0260546875,0,1,1
605184.000005385,0.05611979165,0.042578125,0.0260546875,0,0,1
1347583.99999725,0.05403645835,0.041015625,0.0346484375,0,1,0
4885504.00060952,0.05403645835,0.033984375,0.0346484375,0,1,0
1802240.00004316,0.03919270835,0.033984375,0.0299609375,1,0,1
742400.00001351,0.05403645835,0.042578125,0.0299609375,0,1,0
897023.999985132,0.04153645835,0.036953125,0.0276171875,1,0,0
875520.00000601,0.050390625,0.036171875,0.0229296875,1,0,1
1028095.99997058,0.04153645835,0.036171875,0.0362109375,1,0,1
1418240.00002395,0.04153645835,0.036171875,0.0326953125,0,0,1
5263360.00135138,0.05403645835,0.030703125,0.0362109375,0,1,0
600063.99998307,0.04388020835,0.039296875,0.0362109375,1,0,0
579584.000002668,0.048828125,0.039296875,0.0276171875,0,0,1
452608.000003383,0.048828125,0.039296875,0.0276171875,0,0,0
506880.000019518,0.04153645835,0.039296875,0.0362109375,0,0,0
1176576.00000923,0.04153645835,0.034609375,0.0268359375,0,1,1
1299455.99998379,0.05403645835,0.03736979165,0.0252734375,0,1,0
3070976.00098861,0.05143229165,0.03190104165,0.0307421875,1,1,0
1228800.00003243,0.03893229165,0.03190104165,0.0307421875,0,1,0
509952.000006318,0.03528645835,0.039296875,0.0241015625,1,0,1
396287.999995111,0.04778645835,0.039296875,0.0272265625,0,0,0
456703.999993488,0.04309895835,0.039296875,0.0229296875,0,0,1
495615.999987446,0.04309895835,0.039296875,0.0229296875,0,0,0
447488.000016188,0.05091145835,0.039296875,0.0237109375,1,0,1
412672.000017688,0.03841145835,0.039296875,0.0237109375,1,0,0
1471487.9999565,0.05403645835,0.036171875,0.0237109375,0,1,0
738304.000001414,0.04693269545,0.035864223,0.02703125,1,0,1
840703.999999421,0.0528399123,0.03344047825,0.0276171875,0,0,0
1260543.99998441,0.05052083335,0.03216145835,0.0273828125,0,1,0
965632.000008659,0.04997395835,0.03473842155,0.0268359375,0,0,1
9197568.00240692,0.0490258098,0.03190104165,0.026328125,0,1,0
692223.999998082,0.047890625,0.03736979165,0.0272265625,1,0,1
2121727.99917716,0.0486414776,0.03033854165,0.026796875,0,0,0
607232.000000523,0.0503196142,0.03736979165,0.0283984375,0,1,1
859136.000004439,0.05091145835,0.0360893632,0.029296875,0,0,0
1093631.99999086,0.04153645835,0.036171875,0.0283984375,1,0,1
894976.00000742,0.0466093997,0.03558771315,0.0274609375,0,0,1
808960.000022775,0.045703125,0.03482056805,0.0286328125,0,0,0
646143.999998316,0.04731770835,0.0374940245,0.0265625,0,0,1
786432.000000713,0.0474030361,0.03657013275,0.0242578125,0,1,1
1775615.99996318,0.04466145835,0.034765625,0.0248828125,0,1,1
1230848.00000984,0.04434895835,0.0351125311,0.0258203125,0,0,0
846848.000036884,0.04388020835,0.03653284485,0.0299609375,0,0,0
977920.00001805,0.04494918225,0.039453125,0.0304296875,0,0,0
770047.999982598,0.045703125,0.03955729165,0.0276953125,1,1,0
576512.00001258,0.045703125,0.0402265129,0.0255078125,1,0,0
856063.999973108,0.04743732075,0.03690847145,0.0252734375,0,1,1
692224.000024245,0.04153645835,0.034765625,0.0286328125,1,0,0
4956160.00226108,0.05091145835,0.03513020835,0.028125,1,1,0
1032191.99997279,0.04153645835,0.0382822426,0.0282421875,1,0,0
593920.00000526,0.03997395835,0.04382433185,0.0270703125,0,0,1
1406976.00004440,0.03997395835,0.0392656199,0.0241015625,0,1,0
822271.999997508,0.04093638295,0.0392474844,0.025546875,0,1,1
607232.000027078,0.0479353628,0.04147365555,0.0273046875,0,0,0
1068031.99996595,0.0442929417,0.04032414065,0.0303515625,1,1,0
895999.99998515,0.04305514025,0.04199251695,0.0232421875,1,0,1
583680.000001532,0.0487355567,0.047265625,0.0262890625,0,0,1
1769472.00005134,0.04681192695,0.035390625,0.0273046875,0,1,0
388095.9999959,0.03815104165,0.047265625,0.0317578125,1,0,0
580607.999996325,0.05091145835,0.047265625,0.0316796875,0,0,0
560127.999983235,0.05091145835,0.047265625,0.0311328125,0,0,1
1940480.00022473,0.05091145835,0.035390625,0.0280078125,0,1,1
475135.9999953,0.05091145835,0.04764845125,0.028515625,0,0,0
430079.999999852,0.04544270835,0.048046875,0.02921875,1,0,0
499711.999986544,0.04327384435,0.04593124915,0.0315234375,0,0,1
719872.000006986,0.04153645835,0.044921875,0.031875,1,1,0
384000.000008621,0.04830729165,0.04309217915,0.0252734375,1,0,0
1063936.00003387,0.04533659905,0.04105786695,0.0281640625,0,1,0
416768.000002362,0.05091145835,0.0426993503,0.0265234375,0,1,0
592896.000014667,0.05091145835,0.04544270835,0.0305078125,0,1,0
1744895.99922673,0.045703125,0.043359375,0.0287890625,1,1,0
465919.999993711,0.05036458335,0.04774590555,0.0270703125,0,0,1
364544.000003675,0.04908854165,0.046796875,0.0303515625,1,1,1
3340288.00091696,0.05091145835,0.040390625,0.0309765625,0,1,0
1807359.99936686,0.04778645835,0.0401003432,0.0262109375,1,1,0
1437696.00004229,0.04743986135,0.038379147,0.0240234375,0,0,0
980991.999983656,0.04544270835,0.03754562235,0.0303515625,1,0,0
1868800.00019411,0.04664900805,0.03893229165,0.0303515625,0,1,0
498687.999998685,0.05091145835,0.0435364511,0.0281640625,0,0,0
661504.000016812,0.04778645835,0.03903645835,0.0272265625,1,1,0
2812927.99876998,0.043984375,0.03556424645,0.0298046875,0,0,0
574463.999993322,0.05875,0.04841145835,0.0311328125,0,0,1
739327.999991887,0.05875,0.04841145835,0.0369921875,0,0,1
739328.000014046,0.05875,0.04841145835,0.0369921875,0,0,0
2464767.99912148,0.05875,0.04528645835,0.0381640625,0,1,0
1085440.00000561,0.05875,0.047265625,0.0381640625,0,0,0
1862656.00004563,0.05875,0.04372395835,0.0350390625,0,1,1
631807.9999956,0.05875,0.04841145835,0.0350390625,0,0,0
3969023.99889028,0.05875,0.03841145835,0.0350390625,0,1,0
524288.000010754,0.05875,0.04841145835,0.03484375,1,0,0
779263.99999873,0.05875,0.04841145835,0.03328125,0,0,1
605184.000025962,0.055859375,0.04841145835,0.0334765625,0,0,0
2292736.00010680,0.055859375,0.04216145835,0.0334765625,0,1,0
616448.000013922,0.055859375,0.04841145835,0.0315234375,0,0,1
872447.999989825,0.05875,0.04674479165,0.0315234375,0,1,1
1362943.99996014,0.0556706,0.04674479165,0.0315234375,1,0,0
3318784.00080795,0.0554348467,0.04059895835,0.0381640625,0,1,0
865280.000024562,0.051328125,0.0460452684,0.0283984375,1,0,1
1057791.99999574,0.056015625,0.04841145835,0.0311328125,0,0,0
2361343.99929867,0.056015625,0.03893229165,0.0311328125,0,1,1
781311.999992171,0.056015625,0.04674479165,0.0283984375,0,0,0
3806207.99929606,0.0571875,0.04059895835,0.0260546875,0,1,0
1228799.99997557,0.051953125,0.037890625,0.0307421875,0,1,1
1390591.99994048,0.04986979165,0.045703125,0.0377734375,0,0,1
2811904.00112699,0.05299479165,0.03997395835,0.0326953125,0,1,1
1302527.99996096,0.047265625,0.03997395835,0.0264453125,0,0,1
2020351.99958621,0.039453125,0.036640625,0.0326953125,0,0,1
1127423.99998437,0.04518229165,0.036640625,0.0287890625,0,0,1
1367040.00002506,0.05299479165,0.036640625,0.0287890625,0,0,0
896000.000015327,0.04674479165,0.0403125,0.0244921875,0,0,1
1246207.99997347,0.04674479165,0.04,0.0307421875,0,1,1
3151872.0006802,0.04518229165,0.036328125,0.0307421875,1,1,0
760831.999988765,0.04518229165,0.04,0.0252734375,0,0,1
1010687.99998368,0.03815104165,0.03950520835,0.0283984375,0,0,0
1010688.00001462,0.05299479165,0.03950520835,0.0307421875,0,0,0
1047551.99997495,0.05299479165,0.03950520835,0.0307421875,0,0,0
1924095.99994119,0.05299479165,0.036328125,0.0323046875,0,1,1
834559.999997435,0.05299479165,0.0403125,0.0252734375,0,0,1
1575935.99996707,0.05122395835,0.04,0.0307421875,0,1,0
5192703.99859684,0.05122395835,0.033984375,0.0307421875,0,1,0
1728512.00001818,0.03794270835,0.033984375,0.0291796875,1,0,1
916479.999980281,0.05122395835,0.0403125,0.0291796875,0,1,0
1041407.99999130,0.04028645835,0.035859375,0.0268359375,1,0,0
973824.000021246,0.048828125,0.03544270835,0.0221484375,1,0,1
1333247.99997368,0.04028645835,0.03544270835,0.0315234375,1,0,1
1366016.00002229,0.04028645835,0.03544270835,0.0287890625,0,0,1
6155263.99913579,0.05122395835,0.02997395835,0.0315234375,0,1,0
926719.999980794,0.04263020835,0.0371875,0.0315234375,1,0,0
978943.999979925,0.047265625,0.0371875,0.0268359375,0,0,1
797696.000003157,0.047265625,0.0371875,0.0268359375,0,0,0
854015.999991035,0.04028645835,0.0371875,0.0307421875,0,0,0
2201599.99920040,0.04028645835,0.032734375,0.0254296875,0,1,1
2206720.00004179,0.05122395835,0.03635416665,0.0244921875,0,1,0
3578880.00087355,0.04986979165,0.03190104165,0.0291796875,1,1,0
1571839.99998051,0.03893229165,0.03190104165,0.0291796875,0,1,0
969727.9999898,0.04028645835,0.03635416665,0.0268359375,0,0,1
792575.999991178,0.03528645835,0.0371875,0.0241015625,1,0,1
916480.000015555,0.04622395835,0.0371875,0.0264453125,1,0,0
740352.000007442,0.04184895835,0.0371875,0.0221484375,0,0,1
