auction_id,auction_description,round,bidder_frn,bidder_name,item_name,item_description,round_of_pwb,pwb_amount,net_pwb_amount
73,700 MHz Band,261,17182742,"Triad 700, LLC",WU-REA007-C,Alaska,40,1783000,1337250
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WU-REA008-C,Hawaii,30,36138000,36138000
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WU-REA003-C,Great Lakes,30,1109715000,1109715000
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WU-REA004-C,Mississippi Valley,27,1625930000,1625930000
73,700 MHz Band,261,17182742,"Triad 700, LLC",WU-REA010-C,"Puerto Rico, US Virgin Islands",30,3124000,2343000
73,700 MHz Band,261,17182528,"Small Ventures USA, L.P.",WU-REA012-C,Gulf of Mexico,20,1055000,791250
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WU-REA001-C,Northeast,29,502774000,502774000
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WU-REA002-C,Southeast,30,424224000,424224000
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WU-REA005-C,Central,27,723228000,723228000
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WU-REA006-C,West,30,319798000,319798000
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-BEA001-A,Bangor ME,52,973000,729750
73,700 MHz Band,261,17173121,Frontier Wireless LLC,WY-BEA001-E,Bangor ME,40,118000,118000
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-BEA002-A,Portland ME,26,2658000,1993500
73,700 MHz Band,261,2644953,"Paul Bunyan Rural Telephone Cooperative,",WY-CMA483-B,Minnesota 2 - Lake of the Wood,83,175000,175000
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA484-B,Minnesota 3 - Koochiching,15,319000,319000
73,700 MHz Band,261,17196320,"Dragon Arch, Inc.",WY-CMA485-B,Minnesota 4 - Lake,178,81000,60750
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA458-B,Louisiana 5 - Beauregard,22,5180000,5180000
73,700 MHz Band,261,15014202,"Cox Wireless, Inc.",WY-CMA459-B,Louisiana 6 - Iberville,36,1492000,1492000
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA515-B,Missouri 12 - Maries,88,3903000,2927250
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA516-B,Missouri 13 - Washington,27,2078000,2078000
73,700 MHz Band,261,14999585,MTN3B Consortium,WY-CMA532-B,Montana 10 - Prairie,27,185000,157250
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA533-B,Nebraska 1 - Sioux,24,787000,787000
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA534-B,Nebraska 2 - Cherry,25,287000,287000
73,700 MHz Band,261,5464284,"Comporium Wireless, LLC",WY-CMA565-B,North Carolina 1 - Cherokee,78,1399000,1399000
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA567-B,North Carolina 3 - Ashe,22,2289000,1716750
73,700 MHz Band,261,15030844,"Iowa Intelegra Consortium, LLC",WY-CMA478-B,Michigan 7 - Newaygo,124,232000,232000
73,700 MHz Band,261,15030844,"Iowa Intelegra Consortium, LLC",WY-CMA479-B,Michigan 8 - Allegan,123,83000,83000
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA480-B,Michigan 9 - Cass,26,3389000,3389000
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA498-B,Mississippi 6 - Montgomery,72,200000,200000
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA499-B,Mississippi 7 - Leake,149,178000,178000
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA500-B,Mississippi 8 - Claiborne,147,272000,272000
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA549-B,New Hampshire 2 - Carroll,24,779000,584250
73,700 MHz Band,261,4964318,QUALCOMM Incorporated,WY-CMA550-B,New Jersey 1 - Hunterdon,215,1867000,1867000
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA551-B,New Jersey 2 - Ocean,18,7178000,7178000
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA466-B,Maine 4 - Washington,23,1101000,1101000
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA467-B,Maryland 1 - Garrett,241,245000,183750
73,700 MHz Band,261,3778362,"Agri-Valley Communications, Inc.",WY-CMA474-B,Michigan 3 - Emmet,19,485000,412250
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA475-B,Michigan 4 - Cheboygan,115,420000,420000
73,700 MHz Band,261,2623601,Redwood Wireless Corp.,WY-CMA490-B,Minnesota 9 - Pipestone,21,995000,746250
73,700 MHz Band,261,2623601,Redwood Wireless Corp.,WY-CMA491-B,Minnesota 10 - Le Sueur,21,2870000,2152500
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA506-B,Missouri 3 - Schuyler,24,1476000,1107000
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA507-B,Missouri 4 - De Kalb,32,2748000,2748000
73,700 MHz Band,261,2532497,Chariton Valley Communication Corporatio,WY-CMA508-B,Missouri 5 - Linn,39,2335000,1984750
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA523-B,Montana 1 - Lincoln,27,2587000,2587000
73,700 MHz Band,261,14999585,MTN3B Consortium,WY-CMA524-B,Montana 2 - Toole,27,322000,273700
73,700 MHz Band,261,14999585,MTN3B Consortium,WY-CMA525-B,Montana 3 - Phillips,27,146000,124100
73,700 MHz Band,261,2388262,"Glenwood Telephone Membership, Corporati",WY-CMA540-B,Nebraska 8 - Chase,27,313000,234750
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA541-B,Nebraska 9 - Adams,26,1557000,1557000
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA542-B,Nebraska 10 - Cass,27,1133000,849750
73,700 MHz Band,261,1612555,"PVT Networks, Inc.",WY-CMA556-B,New Mexico 4 - Santa Fe,44,1356000,1152600
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA557-B,New Mexico 5 - Grant,26,690000,690000
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA558-B,New Mexico 6 - Lincoln,26,1207000,1207000
73,700 MHz Band,261,17181199,"Broadband Wireless Unlimited, LLC",WY-CMA462-B,Louisiana 9 - Plaquemines,176,15000,12750
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA463-B,Maine 1 - Oxford,22,970000,727500
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA464-B,Maine 2 - Somerset,21,1043000,782250
