,auction_id,auction_description,round,bidder_frn,bidder_name,item_name,item_description,round_of_pwb,pwb_amount,net_pwb_amount,EA,REA,CMA,Block,pop,income,gulf
1,73,700 MHz Band,261,17182742,"Triad 700, LLC",WU-REA007-C,Alaska,40,1783000,1337250,0,7,0,C,626932,69988.06825,0
2,73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WU-REA008-C,Hawaii,30,36138000,36138000,0,8,0,C,1211537,68578.69324,0
3,73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WU-REA003-C,Great Lakes,30,1109715000,1109715000,0,3,0,C,58178304,51704.15932,0
4,73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WU-REA004-C,Mississippi Valley,27,1625930000,1625930000,0,4,0,C,31326973,44993.44755,0
5,73,700 MHz Band,261,17182742,"Triad 700, LLC",WU-REA010-C,"Puerto Rico, US Virgin Islands",30,3124000,2343000,0,10,0,C,3917222,19146.32203,0
7,73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WU-REA001-C,Northeast,29,502774000,502774000,0,1,0,C,50058090,63267.32724,0
8,73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WU-REA002-C,Southeast,30,424224000,424224000,0,2,0,C,49676946,53703.64836,0
9,73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WU-REA005-C,Central,27,723228000,723228000,0,5,0,C,40343960,50769.11122,0
10,73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WU-REA006-C,West,30,319798000,319798000,0,6,0,C,49999164,60126.36559,0
11,73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-BEA001-A,Bangor ME,52,973000,729750,1,0,0,A,526106,42710.27199,0
12,73,700 MHz Band,261,17173121,Frontier Wireless LLC,WY-BEA001-E,Bangor ME,40,118000,118000,1,0,0,E,526106,42710.27199,0
13,73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-BEA002-A,Portland ME,26,2658000,1993500,2,0,0,A,748817,52605.40459,0
14,73,700 MHz Band,261,2644953,"Paul Bunyan Rural Telephone Cooperative,",WY-CMA483-B,Minnesota 2 - Lake of the Wood,83,175000,175000,0,0,483,B,65227,43362.71369,0
15,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA484-B,Minnesota 3 - Koochiching,15,319000,319000,0,0,484,B,58347,44700.63319,0
16,73,700 MHz Band,261,17196320,"Dragon Arch, Inc.",WY-CMA485-B,Minnesota 4 - Lake,178,81000,60750,0,0,485,B,16226,48197.03513,0
17,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA458-B,Louisiana 5 - Beauregard,22,5180000,5180000,0,0,458,B,399898,39767.91857,0
18,73,700 MHz Band,261,15014202,"Cox Wireless, Inc.",WY-CMA459-B,Louisiana 6 - Iberville,36,1492000,1492000,0,0,459,B,183474,43606.7369,0
19,73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA515-B,Missouri 12 - Maries,88,3903000,2927250,0,0,515,B,127624,41927.01233,0
20,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA516-B,Missouri 13 - Washington,27,2078000,2078000,0,0,516,B,96827,38108.88795,0
21,73,700 MHz Band,261,14999585,MTN3B Consortium,WY-CMA532-B,Montana 10 - Prairie,27,185000,157250,0,0,532,B,18950,43282.9172,0
22,73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA533-B,Nebraska 1 - Sioux,24,787000,787000,0,0,533,B,90410,42798.71582,0
23,73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA534-B,Nebraska 2 - Cherry,25,287000,287000,0,0,534,B,29189,43030.70407,0
24,73,700 MHz Band,261,5464284,"Comporium Wireless, LLC",WY-CMA565-B,North Carolina 1 - Cherokee,78,1399000,1399000,0,0,565,B,200333,39025.52736,0
25,73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA567-B,North Carolina 3 - Ashe,22,2289000,1716750,0,0,567,B,171912,34265.73447,0
26,73,700 MHz Band,261,15030844,"Iowa Intelegra Consortium, LLC",WY-CMA478-B,Michigan 7 - Newaygo,124,232000,232000,0,0,478,B,255329,39527.49274,0
27,73,700 MHz Band,261,15030844,"Iowa Intelegra Consortium, LLC",WY-CMA479-B,Michigan 8 - Allegan,123,83000,83000,0,0,479,B,105665,51030,0
28,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA480-B,Michigan 9 - Cass,26,3389000,3389000,0,0,480,B,304730,45404.05072,0
29,73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA498-B,Mississippi 6 - Montgomery,72,200000,200000,0,0,498,B,189098,32497.25994,0
30,73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA499-B,Mississippi 7 - Leake,149,178000,178000,0,0,499,B,188499,35431.44461,0
31,73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA500-B,Mississippi 8 - Claiborne,147,272000,272000,0,0,500,B,160376,31703.05442,0
32,73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA549-B,New Hampshire 2 - Carroll,24,779000,584250,0,0,549,B,236216,60799.19921,0
33,73,700 MHz Band,261,4964318,QUALCOMM Incorporated,WY-CMA550-B,New Jersey 1 - Hunterdon,215,1867000,1867000,0,0,550,B,121989,105880,0
34,73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA551-B,New Jersey 2 - Ocean,18,7178000,7178000,0,0,551,B,510916,61038,0
35,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA466-B,Maine 4 - Washington,23,1101000,1101000,0,0,466,B,85732,43825.25324,0
36,73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA467-B,Maryland 1 - Garrett,241,245000,183750,0,0,467,B,29846,45354,0
37,73,700 MHz Band,261,3778362,"Agri-Valley Communications, Inc.",WY-CMA474-B,Michigan 3 - Emmet,19,485000,412250,0,0,474,B,174862,48566.37528,0
38,73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA475-B,Michigan 4 - Cheboygan,115,420000,420000,0,0,475,B,141199,39470.69004,0
39,73,700 MHz Band,261,2623601,Redwood Wireless Corp.,WY-CMA490-B,Minnesota 9 - Pipestone,21,995000,746250,0,0,490,B,133637,47279.36938,0
40,73,700 MHz Band,261,2623601,Redwood Wireless Corp.,WY-CMA491-B,Minnesota 10 - Le Sueur,21,2870000,2152500,0,0,491,B,240003,53355.3954,0
41,73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA506-B,Missouri 3 - Schuyler,24,1476000,1107000,0,0,506,B,56401,36162.69759,0
42,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA507-B,Missouri 4 - De Kalb,32,2748000,2748000,0,0,507,B,72404,45687.73863,0
43,73,700 MHz Band,261,2532497,Chariton Valley Communication Corporatio,WY-CMA508-B,Missouri 5 - Linn,39,2335000,1984750,0,0,508,B,69416,38030.56598,0
44,73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA523-B,Montana 1 - Lincoln,27,2587000,2587000,0,0,523,B,156158,40561.51463,0
45,73,700 MHz Band,261,14999585,MTN3B Consortium,WY-CMA524-B,Montana 2 - Toole,27,322000,273700,0,0,524,B,37077,41855.14462,0
46,73,700 MHz Band,261,14999585,MTN3B Consortium,WY-CMA525-B,Montana 3 - Phillips,27,146000,124100,0,0,525,B,13555,43301.91914,0
47,73,700 MHz Band,261,2388262,"Glenwood Telephone Membership, Corporati",WY-CMA540-B,Nebraska 8 - Chase,27,313000,234750,0,0,540,B,56542,45821.82908,0
48,73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA541-B,Nebraska 9 - Adams,26,1557000,1557000,0,0,541,B,82173,45654.87229,0
49,73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA542-B,Nebraska 10 - Cass,27,1133000,849750,0,0,542,B,87405,50820.84836,0
50,73,700 MHz Band,261,1612555,"PVT Networks, Inc.",WY-CMA556-B,New Mexico 4 - Santa Fe,44,1356000,1152600,0,0,556,B,274809,48915.12634,0
51,73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA557-B,New Mexico 5 - Grant,26,690000,690000,0,0,557,B,61950,34230.48881,0
52,73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA558-B,New Mexico 6 - Lincoln,26,1207000,1207000,0,0,558,B,250260,43223.14906,0
53,73,700 MHz Band,261,17181199,"Broadband Wireless Unlimited, LLC",WY-CMA462-B,Louisiana 9 - Plaquemines,176,15000,12750,0,0,462,B,26757,57386,0
54,73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA463-B,Maine 1 - Oxford,22,970000,727500,0,0,463,B,84222,40727.95638,0
55,73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA464-B,Maine 2 - Somerset,21,1043000,782250,0,0,464,B,142061,37586.80222,0
56,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA511-B,Missouri 8 - Callaway,27,6187000,6187000,0,0,511,B,116371,50028.43912,0
57,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA512-B,Missouri 9 - Bates,39,3166000,3166000,0,0,512,B,82489,36978.64446,0
58,73,700 MHz Band,261,14999585,MTN3B Consortium,WY-CMA528-B,Montana 6 - Deer Lodge,27,267000,226950,0,0,528,B,64977,42077.96748,0
59,73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA529-B,Montana 7 - Fergus,24,292000,292000,0,0,529,B,29729,44365.23398,0
60,73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA545-B,Nevada 3 - Storey,26,401000,401000,0,0,545,B,131616,54367.30053,0
61,73,700 MHz Band,261,17176173,"Great American Broadband, Inc.",WY-CMA546-B,Nevada 4 - Mineral,93,190000,142500,0,0,546,B,38527,38118.90588,0
62,73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA560-B,New York 2 - Franklin,15,576000,432000,0,0,560,B,230331,47709.69583,0
63,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA561-B,New York 3 - Chautauqua,39,4248000,4248000,0,0,561,B,476152,45173.17545,0
64,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA562-B,New York 4 - Yates,51,251000,251000,0,0,562,B,355651,48858.45205,0
65,73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA502-B,Mississippi 10 - Smith,47,117000,117000,0,0,502,B,157867,34772.36865,0
66,73,700 MHz Band,261,5411426,"Cellular South Licenses, Inc.",WY-CMA503-B,Mississippi 11 - Lamar,73,363000,363000,0,0,503,B,204876,41169.10628,0
67,73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA519-B,Missouri 16 - Laclede,22,1501000,1501000,0,0,519,B,104516,37415.98251,0
68,73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA520-B,Missouri 17 - Shannon,25,800000,800000,0,0,520,B,55504,30983.40284,0
69,73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA521-B,Missouri 18 - Perry,18,1009000,756750,0,0,521,B,123913,42547.96006,0
70,73,700 MHz Band,261,17181199,"Broadband Wireless Unlimited, LLC",WY-CMA470-B,Massachusetts 1 - Franklin,224,140000,119000,0,0,470,B,71535,53298,0
71,73,700 MHz Band,261,17182742,"Triad 700, LLC",WY-CMA471-B,Massachusetts 2 - Barnstable,31,834000,625500,0,0,471,B,246737,61648.50343,0
72,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA487-B,Minnesota 6 - Hubbard,14,1181000,1181000,0,0,487,B,274452,47940.80256,0
73,73,700 MHz Band,261,2623601,Redwood Wireless Corp.,WY-CMA488-B,Minnesota 7 - Chippewa,22,1656000,1242000,0,0,488,B,174114,53056.01592,0
74,73,700 MHz Band,261,16701807,"Sky Com 700 MHZ, LLC",WY-CMA486-B,Minnesota 5 - Wilkin,18,2227000,2227000,0,0,486,B,214745,47602.23635,0
75,73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA494-B,Mississippi 2 - Benton,72,783000,783000,0,0,494,B,258742,36731.57865,0
76,73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA495-B,Mississippi 3 - Bolivar,72,168000,168000,0,0,495,B,160230,25994.83024,0
77,73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA536-B,Nebraska 4 - Grant,27,156000,117000,0,0,536,B,34344,45003.29586,0
78,73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA537-B,Nebraska 5 - Boone,27,1925000,1443750,0,0,537,B,149780,52095.17565,0
79,73,700 MHz Band,261,15024631,"Cavalier Wireless, LLC",WY-CMA552-B,New Jersey 3 - Sussex,106,204000,153000,0,0,552,B,144166,85507,0
80,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA553-B,New Mexico 1 - San Juan,26,2010000,2010000,0,0,553,B,285363,40131.69796,0
81,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA568-B,North Carolina 4 - Henderson,25,2367000,2367000,0,0,568,B,372614,41851.10087,0
82,73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA569-B,North Carolina 5 - Anson,24,181000,135750,0,0,569,B,134659,32176.02073,0
83,73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA570-B,North Carolina 6 - Chatham,85,275000,206250,0,0,570,B,173138,50123.63132,0
84,73,700 MHz Band,261,17169509,"Columbia Cellular, Inc.",WY-CMA461-B,Louisiana 8 - St. James,24,793000,674050,0,0,461,B,112332,55038.43243,0
85,73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA460-B,Louisiana 7 - West Feliciana,80,93000,93000,0,0,460,B,191510,39530.65615,0
86,73,700 MHz Band,261,3778362,"Agri-Valley Communications, Inc.",WY-CMA481-B,Michigan 10 - Tuscola,149,1309000,1112650,0,0,481,B,138892,41549.49977,0
87,73,700 MHz Band,261,15030844,"Iowa Intelegra Consortium, LLC",WY-CMA482-B,Minnesota 1 - Kittson,31,18000,18000,0,0,482,B,49661,49645.96998,0
88,73,700 MHz Band,261,15024631,"Cavalier Wireless, LLC",WY-BEA172-A,Honolulu HI,58,3728000,2796000,172,0,0,A,1211537,68578.69324,0
89,73,700 MHz Band,261,17173121,Frontier Wireless LLC,WY-BEA171-E,Anchorage AK,95,1002000,1002000,171,0,0,E,626932,69988.06825,0
90,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA017-B,"Atlanta, GA",27,248784000,248784000,0,0,17,B,3751674,59116.31016,0
91,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA018-B,"San Diego, CA",31,176977000,176977000,0,0,18,B,2813833,63373,0
92,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA019-B,"Denver-Boulder, CO",42,55682000,55682000,0,0,19,B,2405327,62878.15766,0
93,73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA034-B,"Rochester, NY",19,19135000,19135000,0,0,34,B,1037831,53120.2263,0
94,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA035-B,"Sacramento, CA",29,77783000,77783000,0,0,35,B,1640558,58642.58002,0
95,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA051-B,"Jacksonville, FL",39,30733000,30733000,0,0,51,B,1122750,52335.95638,0
96,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA050-B,"Honolulu, HI",18,11916000,11916000,0,0,50,B,876156,72292,0
97,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA067-B,"Greenville-Spartanburg, SC",26,12861000,12861000,0,0,67,B,744164,45760.91117,0
98,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA068-B,"Flint, MI",27,7399000,7399000,0,0,68,B,507828,43347.73339,0
99,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA069-B,"Wilmington, DE-NJ-MD",27,21284000,21284000,0,0,69,B,650501,64321.91047,0
100,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA083-B,"Mobile, AL",21,11046000,11046000,0,0,83,B,540258,44982.83455,0
101,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA084-B,"Harrisburg, PA",27,5547000,5547000,0,0,84,B,509074,57110.50892,0
102,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA085-B,"Johnson City-Kingsport, TN-VA",18,5446000,5446000,0,0,85,B,480091,39114.52667,0
103,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA100-B,"Shreveport, LA",31,7947000,7947000,0,0,100,B,392302,43157.16283,0
104,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA101-B,"Beaumont-Port Arthur, TX",27,2617000,2617000,0,0,101,B,385090,46192.24584,0
105,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA117-B,"Colorado Springs, CO",31,6630000,6630000,0,0,117,B,537484,57547.78868,0
106,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA118-B,"Reading, PA",27,1820000,1820000,0,0,118,B,373638,55021,0
107,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA134-B,"Atlantic City, NJ",27,2520000,2520000,0,0,134,B,354878,55081.18618,0
108,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA135-B,"Eugene-Springfield, OR",27,1978000,1978000,0,0,135,B,322959,42628,0
109,73,700 MHz Band,261,5746508,"PCS Partners, L.P.",WY-CMA151-B,"Poughkeepsie, NY",29,674000,505500,0,0,151,B,280150,71508,0
110,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA152-B,"Portland, ME",16,1662000,1662000,0,0,152,B,300826,56980.48701,0
111,73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA153-B,"Columbus, GA-AL",22,826000,826000,0,0,153,B,250929,40315.49561,0
112,73,700 MHz Band,261,17189325,"VentureTel 700, Inc.",WY-CMA169-B,"Mayaguez, PR",98,547000,410250,0,0,169,B,227412,15926.87379,0
113,73,700 MHz Band,261,17182742,"Triad 700, LLC",WY-CMA170-B,"Galveston-Texas City, TX",31,930000,697500,0,0,170,B,250158,61555,0
114,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA168-B,"Tallahassee, FL",27,9312000,9312000,0,0,168,B,307402,44956.64123,0
115,73,700 MHz Band,261,17163114,"I-700, LLC",WY-CMA185-B,"Terre Haute, IN",88,665000,665000,0,0,185,B,170943,42258.97972,0
116,73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA186-B,"Green Bay, WI",22,3752000,2814000,0,0,186,B,226778,53419,0
117,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA187-B,"Anchorage, AK",97,1383000,1383000,0,0,187,B,260283,76495,0
118,73,700 MHz Band,261,3778362,"Agri-Valley Communications, Inc.",WY-CMA181-B,"Muskegon, MI",35,339000,288150,0,0,181,B,197073,40682.63989,0
119,73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA182-B,"Fayetteville-Springdale, AR",23,5789000,5789000,0,0,182,B,311121,47388.30495,0
120,73,700 MHz Band,261,17189325,"VentureTel 700, Inc.",WY-CMA202-B,"Arecibo, PR",98,401000,300750,0,0,202,B,199750,17148.54363,0
