FIPS,COUNTY,STATE,2KPOPULATION,RPC,MTA,BTA,REA,EAG_220,EAG_700,MEA,EA,PSR,CMA,VPC,CEA,Income
1001,Autauga,Alabama,43671,4,29,305,4,3,3,24,79,1,139,4,187,53773
1003,Baldwin,Alabama,140415,4,17,302,4,3,3,27,80,1,83,4,183,50706
1005,Barbour,Alabama,29038,2,11,92,4,3,3,24,36,1,314,4,77,31889
1007,Bibb,Alabama,20826,4,29,44,4,3,3,24,78,1,310,4,32,36824
1009,Blount,Alabama,51024,4,29,44,4,3,3,24,78,1,307,4,32,45192
1011,Bullock,Alabama,11714,4,29,305,4,3,3,24,79,1,314,4,187,34500
1013,Butler,Alabama,21399,4,29,305,4,3,3,24,79,1,313,4,187,30752
1015,Calhoun,Alabama,112249,4,29,17,4,3,3,24,78,1,249,4,12,40093
1017,Chambers,Alabama,36583,2,11,334,2,3,3,8,40,1,311,3,16,32181
1019,Cherokee,Alabama,23988,4,29,158,2,3,3,8,40,1,308,3,16,36241
1021,Chilton,Alabama,39593,4,29,44,4,3,3,24,78,1,310,4,32,40834
1023,Choctaw,Alabama,15922,4,28,292,4,3,3,26,77,1,309,4,325,35123
1025,Clarke,Alabama,27867,4,17,302,4,3,3,27,80,1,312,4,183,30954
1027,Clay,Alabama,14254,4,29,17,2,3,3,8,39,1,311,4,63,34556
1029,Cleburne,Alabama,14123,4,29,17,2,3,3,8,40,1,311,3,16,37244
1031,Coffee,Alabama,43615,4,29,115,4,3,3,24,36,1,313,4,77,44626
1033,Colbert,Alabama,54984,4,29,146,4,3,3,24,74,1,226,4,94,40158
1035,Conecuh,Alabama,14089,4,17,302,4,3,3,27,80,1,312,4,183,27064
1037,Coosa,Alabama,12202,4,29,44,2,3,3,8,39,1,311,4,63,37425
1039,Covington,Alabama,37631,4,29,305,4,3,3,24,36,1,313,4,77,35321
1041,Crenshaw,Alabama,13665,4,29,305,4,3,3,24,79,1,313,4,187,37309
1043,Cullman,Alabama,77483,4,29,44,4,3,3,24,78,1,307,4,32,39244
1045,Dale,Alabama,49129,4,29,115,4,3,3,24,36,1,246,4,77,45247
1047,Dallas,Alabama,46365,4,29,415,4,3,3,24,79,1,310,4,187,26178
1049,DeKalb,Alabama,64452,4,29,158,4,3,3,24,74,1,308,4,128,36853
1051,Elmore,Alabama,65874,4,29,305,4,3,3,24,79,1,139,4,187,55514
1053,Escambia,Alabama,38440,4,17,302,4,3,3,27,80,1,312,4,183,31075
1055,Etowah,Alabama,103459,4,29,158,4,3,3,24,74,1,272,4,105,37660
1057,Fayette,Alabama,18495,4,29,450,4,3,3,24,78,1,309,4,32,33090
1059,Franklin,Alabama,31223,4,29,146,4,3,3,24,74,1,307,4,94,37235
1061,Geneva,Alabama,25764,4,29,115,4,3,3,24,36,1,313,4,77,33618
1063,Greene,Alabama,9974,4,29,450,4,3,3,26,77,1,309,4,325,23777
1065,Hale,Alabama,17185,4,29,450,4,3,3,24,78,1,309,4,286,29409
1067,Henry,Alabama,16310,4,29,115,4,3,3,24,36,1,314,4,77,40680
1069,Houston,Alabama,88787,4,29,115,4,3,3,24,36,1,246,4,77,41828
1071,Jackson,Alabama,53926,4,29,198,4,3,3,24,74,1,308,4,128,37059
