"drefus","fidel","keystne","Putnminc","scudinc","windsor","valmrkt","tbill"
-0.062783003,-0.077937,-0.071979001,-0.012889,-0.028539,-0.029756,-0.036540002,0.004
-0.042293999,-0.039533999,-0.099722996,-0.042436998,-0.027044,-0.023549,-0.033860002,0.0039
0.021707,0.016538,0.016922999,-0.007955,0.01145,0.002243,0.005137,0.0038
0.100365996,0.092551999,0.190620005,0.074160002,0.071698003,0.088416003,0.093814999,0.0043
0.02139,0.030773999,0.076238997,0.024811,0.035211001,0.025118001,0.026388999,0.0045
0.001309,-0.010273,-0.028334999,0.018947,-0.002282,0.035222001,0.011369,0.0043
-0.037907999,-0.028543999,-0.048990998,-0.044884998,-0.016581001,-0.004931,-0.022182999,0.0048
0.020463999,0.018697999,0.042424001,0.02623,0.012791,0.011397,0.017349999,0.0042
0.055481002,0.045231,0.055233002,0.053247999,0.038128,0.045566,0.043563999,0.0043
0.010133,-0.004077,-0.00551,0.015353,0.003895,0.016869999,0.008859,0.0044
0.062302999,0.056674998,0.080332004,0.063507997,0.022173001,0.065590002,0.057696,0.0042
-0.025474001,-0.053932998,-0.052563999,-0.019905001,-0.049727,-0.027462,-0.033923,0.0043
-0.000608,-0.01479,-0.008119,0.003012,0,0.014119,-0.006782,0.0053
-0.070375003,-0.068664998,-0.117325999,-0.074074,-0.045154002,-0.045127001,-0.053920999,0.0046
0.015141,0.02994,0.024730001,0.019459,0.009524,0.048264999,0.029859001,0.0046
0.014205,0.017805001,0.043740999,-0.002146,0.030818,0.008153,0.020548999,0.0053
-0.003516,-0.003927,-0.008671,-0.012903,-0.014033,-0.001903,0.00489,0.0048
-0.066336997,-0.063441001,-0.141398996,-0.063180998,-0.052960001,-0.047104999,-0.068039,0.0051
-0.058956999,-0.074626997,-0.084890001,-0.044759002,-0.050000001,-0.062821999,-0.065512002,0.0053
0.057303999,0.058726002,0.100208998,0.020962,0.041551001,0.045054998,0.051008001,0.005
-0.000763,-0.003906,-0.001898,-0.019324001,0.016744999,-0.003155,-0.022839,0.0062
0.049656,0.065881997,0.057034001,0.033707999,0.067194,0.063290998,0.055225998,0.006
-0.027047001,-0.035319999,-0.032373998,-0.036231998,-0.038272001,-0.029015999,-0.032239001,0.0052
-0.027047001,-0.025934,-0.022305001,-0.025063001,-0.022668,-0.01921,-0.020300001,0.0064
-0.083397999,-0.078218997,-0.096957996,-0.025165999,-0.051690001,-0.050053999,-0.073661,0.006
0.046099,0.047339998,0.048420999,0.039402001,0.052444998,0.085910998,0.056492001,0.0062
-0.00678,-0.015928,-0.040160999,0.014379,0.011533,0.003165,-0.004639,0.0057
-0.112627998,-0.119423002,-0.196652994,-0.060130998,-0.094567001,-0.100946002,-0.105054997,0.005
-0.065764003,-0.060109001,-0.096354,-0.051460002,-0.058518998,-0.064208999,-0.064204998,0.0053
-0.037266999,-0.041754998,-0.054754999,-0.024927,-0.03892,-0.035578001,-0.050999999,0.0058
0.069891997,0.051295999,0.054878,0.047401,0.053718999,0.084321,0.074028,0.0052
0.036400002,0.050891999,0.03207,0.029197,0.041568998,0.025516,0.050213002,0.0053
0.033171002,0.04693,0.098870002,0.029787,0.039514001,0.045024,0.047277,0.0054
-0.016053,-0.025751,-0.030848,-0.00561,-0.023391999,-0.022676,-0.017957,0.0046
0.041506,0.039648,0.029177999,0.043724,0.042665001,0.047059,0.049959,0.0046
0.051899999,0.056968,0.061856002,0.045945998,0.065646,0.065168999,0.060603,0.0042
0.058150001,0.053114001,0.07767,0.056356002,0.054756999,0.032699998,0.051557001,0.0038
0.009314,0.022608999,0.047297001,0.006203,0.01233,0.00715,0.016806999,0.0033
0.051174,0.053996999,0.094623998,0.036991,0.036176,0.045639001,0.044365998,0.003
0.042298,0.046792999,0.041257001,0.024095999,0.018703001,0.00388,0.033443,0.0028
-0.038462002,-0.037765,-0.032074999,-0.036471002,-0.040392,-0.030332999,-0.036766,0.0029
-8e-04,-0.001201,0.015595,0.009768,0.007717,0.005045,0.002805,0.0037
-0.039230999,-0.059742998,-0.071016997,-0.01348,-0.015954001,-0.027108001,-0.040401001,0.004
0.035176001,0.052026,0.072613999,0.031056,0.033721998,0.017543999,0.041692,0.0047
-0.017798999,-0.015403,0.005803,0.003614,-0.001898,-0.019269999,-0.005085,0.0037
-0.048599999,-0.053107999,-0.069231004,-0.02561,-0.018378001,-0.031024,-0.040800001,0.0037
0.00087,0.002174,0.006198,-0.002503,-0.001291,-0.008538,-0.001205,0.0037
0.090434998,0.103253998,0.139630005,0.043915,0.077931002,0.082271002,0.091248997,0.0037
0.023126001,0.046913002,0.097296998,0.020706,0.022479,0.024625,0.027685,0.0029
0.040220998,0.047874,0.057471,0.015513,0.007724,0.005225,0.031683002,0.0025
0.009856,0.013158,0.034161001,0.009401,0.007784,0.005198,0.008371,0.0027
0.006006,0.018038001,0.006006,0.001179,0.011289,-0.003102,0.005529,0.0029
0.015742,0.028703,0.055224001,0.018846,0.003525,-0.0074,0.016285,0.003
-0.050184,-0.039613999,-0.028289,-0.018497,-0.012389,-0.028754,-0.021609999,0.0029
-0.013986,-0.019726999,-0.048035,0,0.005974,-0.009868,-0.004029,0.0031
0.027712001,0.015002,-0.032109998,0.01432,0.046912,0.073090002,0.034609001,0.0029
-0.030045999,-0.033526,-0.034754999,-0.008235,0.006286,-0.021671999,-0.007283,0.0034
0.008737,0.002238,-0.01473,0.016867001,0.010789,0.020042,0.008105,0.004
0.056961998,0.047637001,0.026578,0.031991001,0.032021999,0.063404001,0.049304001,0.0037
