
 	Jan	Feb	Mar	Apr	May	Jun
Average high in °F:	47	51	57	61	68	74
Average low in °F:	36	36	40	43	49	54
Av. precipitation in inch:	4.88	3.66	3.66	2.72	2.48	1.69
Days with precipitation:	-	-	-	-	-	-
Hours of sunshine:	-	-	-	-	-	-
Average snowfall in inch:	1	2	0	0	0	0
 	Jul	Aug	Sep	Oct	Nov	Dec
Average high in °F:	81	81	76	64	53	46
Average low in °F:	58	58	53	46	40	35
Av. precipitation in inch:	0.67	0.67	1.46	2.99	5.63	5.47
Days with precipitation:	-	-	-	-	-	-
Hours of sunshine:	-	-	-	-	-	-
Average snowfall in inch:	0	0	0	0	0	1
